Accuracy,Feature_Combo
0.6277915835380554,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'spec_cent')"
0.6203473806381226,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'spec_band')"
0.6997518539428711,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'roll_off')"
0.41439205408096313,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'zcr')"
0.6799007654190063,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'mfcc')"
0.5062034726142883,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'spec_band')"
0.46401986479759216,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'roll_off')"
0.46650123596191406,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'zcr')"
0.6625310182571411,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'mfcc')"
0.6650124192237854,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_band', 'roll_off')"
0.5880893468856812,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_band', 'zcr')"
0.6724565625190735,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_band', 'mfcc')"
0.5806451439857483,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'roll_off', 'zcr')"
0.692307710647583,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'roll_off', 'mfcc')"
0.6302729249000549,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'zcr', 'mfcc')"
0.6029776930809021,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'spec_band')"
0.5732010006904602,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'roll_off')"
0.5607940554618835,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'zcr')"
0.6799007654190063,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'mfcc')"
0.6501240730285645,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_band', 'roll_off')"
0.6228287816047668,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_band', 'zcr')"
0.6451612710952759,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_band', 'mfcc')"
0.6129032373428345,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'roll_off', 'zcr')"
0.6699751615524292,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'roll_off', 'mfcc')"
0.6625310182571411,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'zcr', 'mfcc')"
0.593052089214325,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'spec_band', 'roll_off')"
0.5334987640380859,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'spec_band', 'zcr')"
0.6327543258666992,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'spec_band', 'mfcc')"
0.5012406706809998,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'roll_off', 'zcr')"
0.593052089214325,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'roll_off', 'mfcc')"
0.6699751615524292,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'zcr', 'mfcc')"
0.5682381987571716,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_band', 'roll_off', 'zcr')"
0.7196030020713806,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_band', 'roll_off', 'mfcc')"
0.6302729249000549,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_band', 'zcr', 'mfcc')"
0.7121587991714478,"('tempo', 'tonnetz', 'chroma', 'rms', 'roll_off', 'zcr', 'mfcc')"
0.5483871102333069,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'spec_band')"
0.5334987640380859,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'roll_off')"
0.49627792835235596,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'zcr')"
0.6575682163238525,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'mfcc')"
0.5583126544952393,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_band', 'roll_off')"
0.6029776930809021,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_band', 'zcr')"
0.6203473806381226,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_band', 'mfcc')"
0.6079404354095459,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'roll_off', 'zcr')"
0.692307710647583,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'roll_off', 'mfcc')"
0.6674938201904297,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'zcr', 'mfcc')"
0.5161290168762207,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'spec_band', 'roll_off')"
0.5533498525619507,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'spec_band', 'zcr')"
0.6377171277999878,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'spec_band', 'mfcc')"
0.5980148911476135,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'roll_off', 'zcr')"
0.6377171277999878,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'roll_off', 'mfcc')"
0.6501240730285645,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'zcr', 'mfcc')"
0.5062034726142883,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_band', 'roll_off', 'zcr')"
0.6650124192237854,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_band', 'roll_off', 'mfcc')"
0.6575682163238525,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_band', 'zcr', 'mfcc')"
0.7047146558761597,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'roll_off', 'zcr', 'mfcc')"
0.518610417842865,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'spec_band', 'roll_off')"
0.6277915835380554,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'spec_band', 'zcr')"
0.6674938201904297,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'spec_band', 'mfcc')"
0.43920594453811646,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'roll_off', 'zcr')"
0.6625310182571411,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'roll_off', 'mfcc')"
0.6898263096809387,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'zcr', 'mfcc')"
0.5831265449523926,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_band', 'roll_off', 'zcr')"
0.6799007654190063,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_band', 'roll_off', 'mfcc')"
0.692307710647583,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_band', 'zcr', 'mfcc')"
0.6377171277999878,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'roll_off', 'zcr', 'mfcc')"
