Accuracy,Feature_Combo
0.5756824016571045,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cont')"
0.5508685111999512,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_cent')"
0.5210918188095093,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'spec_band')"
0.5806451439857483,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'roll_off')"
0.5359801650047302,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'zcr')"
0.6848635077476501,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_flux', 'mfcc')"
0.5905707478523254,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_cent')"
0.4789081811904907,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'spec_band')"
0.5707195997238159,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'roll_off')"
0.5533498525619507,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'zcr')"
0.6972704529762268,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cont', 'mfcc')"
0.6029776930809021,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'spec_band')"
0.5607940554618835,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'roll_off')"
0.5657567977905273,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'zcr')"
0.6426799297332764,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_cent', 'mfcc')"
0.5583126544952393,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_band', 'roll_off')"
0.5459057092666626,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_band', 'zcr')"
0.6451612710952759,"('tempo', 'tonnetz', 'chroma', 'rms', 'spec_band', 'mfcc')"
0.5856079459190369,"('tempo', 'tonnetz', 'chroma', 'rms', 'roll_off', 'zcr')"
0.6501240730285645,"('tempo', 'tonnetz', 'chroma', 'rms', 'roll_off', 'mfcc')"
0.5905707478523254,"('tempo', 'tonnetz', 'chroma', 'rms', 'zcr', 'mfcc')"
0.481389582157135,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent')"
0.5086848735809326,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'spec_band')"
0.5657567977905273,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'roll_off')"
0.5012406706809998,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'zcr')"
0.6575682163238525,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cont', 'mfcc')"
0.5707195997238159,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'spec_band')"
0.5434243083000183,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'roll_off')"
0.481389582157135,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'zcr')"
0.6327543258666992,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_cent', 'mfcc')"
0.518610417842865,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_band', 'roll_off')"
0.4764268100261688,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_band', 'zcr')"
0.6401985287666321,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'spec_band', 'mfcc')"
0.540942907333374,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'roll_off', 'zcr')"
0.5707195997238159,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'roll_off', 'mfcc')"
0.6575682163238525,"('tempo', 'tonnetz', 'chroma', 'spec_flux', 'zcr', 'mfcc')"
0.47394540905952454,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'spec_band')"
0.4764268100261688,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'roll_off')"
0.5086848735809326,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'zcr')"
0.5682381987571716,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_cent', 'mfcc')"
0.540942907333374,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_band', 'roll_off')"
0.578163743019104,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_band', 'zcr')"
0.692307710647583,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'spec_band', 'mfcc')"
0.4863523542881012,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'roll_off', 'zcr')"
0.6724565625190735,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'roll_off', 'mfcc')"
0.6501240730285645,"('tempo', 'tonnetz', 'chroma', 'spec_cont', 'zcr', 'mfcc')"
0.44168734550476074,"('tempo', 'tonnetz', 'chroma', 'spec_cent', 'spec_band', 'roll_off')"
0.43176180124282837,"('tempo', 'tonnetz', 'chroma', 'spec_cent', 'spec_band', 'zcr')"
0.6848635077476501,"('tempo', 'tonnetz', 'chroma', 'spec_cent', 'spec_band', 'mfcc')"
0.593052089214325,"('tempo', 'tonnetz', 'chroma', 'spec_cent', 'roll_off', 'zcr')"
0.6724565625190735,"('tempo', 'tonnetz', 'chroma', 'spec_cent', 'roll_off', 'mfcc')"
0.6674938201904297,"('tempo', 'tonnetz', 'chroma', 'spec_cent', 'zcr', 'mfcc')"
0.4888337552547455,"('tempo', 'tonnetz', 'chroma', 'spec_band', 'roll_off', 'zcr')"
0.6228287816047668,"('tempo', 'tonnetz', 'chroma', 'spec_band', 'roll_off', 'mfcc')"
0.6401985287666321,"('tempo', 'tonnetz', 'chroma', 'spec_band', 'zcr', 'mfcc')"
0.6848635077476501,"('tempo', 'tonnetz', 'chroma', 'roll_off', 'zcr', 'mfcc')"
0.6228287816047668,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cont', 'spec_cent')"
0.6054590344429016,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cont', 'spec_band')"
0.5980148911476135,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cont', 'roll_off')"
0.5880893468856812,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cont', 'zcr')"
0.6774193644523621,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cont', 'mfcc')"
0.5583126544952393,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cent', 'spec_band')"
0.5384615659713745,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cent', 'roll_off')"
0.4863523542881012,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cent', 'zcr')"
0.6327543258666992,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_cent', 'mfcc')"
0.6327543258666992,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_band', 'roll_off')"
0.6277915835380554,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_band', 'zcr')"
0.6823821067810059,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'spec_band', 'mfcc')"
0.5880893468856812,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'roll_off', 'zcr')"
0.6079404354095459,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'roll_off', 'mfcc')"
0.6947891116142273,"('tempo', 'tonnetz', 'rms', 'spec_flux', 'zcr', 'mfcc')"
0.6178659796714783,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_cent', 'spec_band')"
0.5707195997238159,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_cent', 'roll_off')"
0.5459057092666626,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_cent', 'zcr')"
0.714640200138092,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_cent', 'mfcc')"
0.5732010006904602,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_band', 'roll_off')"
0.6054590344429016,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_band', 'zcr')"
0.7047146558761597,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'spec_band', 'mfcc')"
0.6277915835380554,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'roll_off', 'zcr')"
0.6724565625190735,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'roll_off', 'mfcc')"
0.6401985287666321,"('tempo', 'tonnetz', 'rms', 'spec_cont', 'zcr', 'mfcc')"
0.5434243083000183,"('tempo', 'tonnetz', 'rms', 'spec_cent', 'spec_band', 'roll_off')"
0.5359801650047302,"('tempo', 'tonnetz', 'rms', 'spec_cent', 'spec_band', 'zcr')"
0.6352357268333435,"('tempo', 'tonnetz', 'rms', 'spec_cent', 'spec_band', 'mfcc')"
0.5086848735809326,"('tempo', 'tonnetz', 'rms', 'spec_cent', 'roll_off', 'zcr')"
0.6327543258666992,"('tempo', 'tonnetz', 'rms', 'spec_cent', 'roll_off', 'mfcc')"
0.6774193644523621,"('tempo', 'tonnetz', 'rms', 'spec_cent', 'zcr', 'mfcc')"
0.578163743019104,"('tempo', 'tonnetz', 'rms', 'spec_band', 'roll_off', 'zcr')"
0.6476426720619202,"('tempo', 'tonnetz', 'rms', 'spec_band', 'roll_off', 'mfcc')"
0.6947891116142273,"('tempo', 'tonnetz', 'rms', 'spec_band', 'zcr', 'mfcc')"
0.6650124192237854,"('tempo', 'tonnetz', 'rms', 'roll_off', 'zcr', 'mfcc')"
0.5533498525619507,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_cent', 'spec_band')"
0.4516128897666931,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_cent', 'roll_off')"
0.5657567977905273,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_cent', 'zcr')"
0.6799007654190063,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_cent', 'mfcc')"
0.578163743019104,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_band', 'roll_off')"
0.5856079459190369,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_band', 'zcr')"
0.6699751615524292,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'spec_band', 'mfcc')"
0.5806451439857483,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'roll_off', 'zcr')"
0.6848635077476501,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'roll_off', 'mfcc')"
0.6674938201904297,"('tempo', 'tonnetz', 'spec_flux', 'spec_cont', 'zcr', 'mfcc')"
0.4590570628643036,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent', 'spec_band', 'roll_off')"
0.5161290168762207,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent', 'spec_band', 'zcr')"
0.6997518539428711,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent', 'spec_band', 'mfcc')"
0.5310173630714417,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent', 'roll_off', 'zcr')"
0.6476426720619202,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent', 'roll_off', 'mfcc')"
0.6823821067810059,"('tempo', 'tonnetz', 'spec_flux', 'spec_cent', 'zcr', 'mfcc')"
0.5334987640380859,"('tempo', 'tonnetz', 'spec_flux', 'spec_band', 'roll_off', 'zcr')"
0.6823821067810059,"('tempo', 'tonnetz', 'spec_flux', 'spec_band', 'roll_off', 'mfcc')"
0.5980148911476135,"('tempo', 'tonnetz', 'spec_flux', 'spec_band', 'zcr', 'mfcc')"
0.7047146558761597,"('tempo', 'tonnetz', 'spec_flux', 'roll_off', 'zcr', 'mfcc')"
0.4863523542881012,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent', 'spec_band', 'roll_off')"
0.5756824016571045,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent', 'spec_band', 'zcr')"
0.6302729249000549,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent', 'spec_band', 'mfcc')"
0.5508685111999512,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent', 'roll_off', 'zcr')"
0.6352357268333435,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent', 'roll_off', 'mfcc')"
0.6947891116142273,"('tempo', 'tonnetz', 'spec_cont', 'spec_cent', 'zcr', 'mfcc')"
0.555831253528595,"('tempo', 'tonnetz', 'spec_cont', 'spec_band', 'roll_off', 'zcr')"
0.578163743019104,"('tempo', 'tonnetz', 'spec_cont', 'spec_band', 'roll_off', 'mfcc')"
0.6972704529762268,"('tempo', 'tonnetz', 'spec_cont', 'spec_band', 'zcr', 'mfcc')"
0.6004962921142578,"('tempo', 'tonnetz', 'spec_cont', 'roll_off', 'zcr', 'mfcc')"
0.5111662745475769,"('tempo', 'tonnetz', 'spec_cent', 'spec_band', 'roll_off', 'zcr')"
0.6501240730285645,"('tempo', 'tonnetz', 'spec_cent', 'spec_band', 'roll_off', 'mfcc')"
0.593052089214325,"('tempo', 'tonnetz', 'spec_cent', 'spec_band', 'zcr', 'mfcc')"
0.655086874961853,"('tempo', 'tonnetz', 'spec_cent', 'roll_off', 'zcr', 'mfcc')"
0.5732010006904602,"('tempo', 'tonnetz', 'spec_band', 'roll_off', 'zcr', 'mfcc')"
0.5459057092666626,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'spec_cent')"
0.5310173630714417,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'spec_band')"
0.5334987640380859,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'roll_off')"
0.5583126544952393,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'zcr')"
0.6774193644523621,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cont', 'mfcc')"
0.503722071647644,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'spec_band')"
0.5136476159095764,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'roll_off')"
0.5136476159095764,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'zcr')"
0.6352357268333435,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_cent', 'mfcc')"
0.578163743019104,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_band', 'roll_off')"
0.49379652738571167,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_band', 'zcr')"
0.7047146558761597,"('tempo', 'chroma', 'rms', 'spec_flux', 'spec_band', 'mfcc')"
0.5434243083000183,"('tempo', 'chroma', 'rms', 'spec_flux', 'roll_off', 'zcr')"
0.6674938201904297,"('tempo', 'chroma', 'rms', 'spec_flux', 'roll_off', 'mfcc')"
0.6203473806381226,"('tempo', 'chroma', 'rms', 'spec_flux', 'zcr', 'mfcc')"
0.5359801650047302,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'spec_band')"
0.6327543258666992,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'roll_off')"
0.5384615659713745,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'zcr')"
0.7369726896286011,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_cent', 'mfcc')"
0.5607940554618835,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_band', 'roll_off')"
0.5583126544952393,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_band', 'zcr')"
0.5905707478523254,"('tempo', 'chroma', 'rms', 'spec_cont', 'spec_band', 'mfcc')"
0.5905707478523254,"('tempo', 'chroma', 'rms', 'spec_cont', 'roll_off', 'zcr')"
0.6873449087142944,"('tempo', 'chroma', 'rms', 'spec_cont', 'roll_off', 'mfcc')"
0.6104218363761902,"('tempo', 'chroma', 'rms', 'spec_cont', 'zcr', 'mfcc')"
0.5260545611381531,"('tempo', 'chroma', 'rms', 'spec_cent', 'spec_band', 'roll_off')"
0.5632754564285278,"('tempo', 'chroma', 'rms', 'spec_cent', 'spec_band', 'zcr')"
0.6104218363761902,"('tempo', 'chroma', 'rms', 'spec_cent', 'spec_band', 'mfcc')"
0.6004962921142578,"('tempo', 'chroma', 'rms', 'spec_cent', 'roll_off', 'zcr')"
0.6625310182571411,"('tempo', 'chroma', 'rms', 'spec_cent', 'roll_off', 'mfcc')"
0.578163743019104,"('tempo', 'chroma', 'rms', 'spec_cent', 'zcr', 'mfcc')"
0.5285359621047974,"('tempo', 'chroma', 'rms', 'spec_band', 'roll_off', 'zcr')"
0.6625310182571411,"('tempo', 'chroma', 'rms', 'spec_band', 'roll_off', 'mfcc')"
0.6426799297332764,"('tempo', 'chroma', 'rms', 'spec_band', 'zcr', 'mfcc')"
0.6774193644523621,"('tempo', 'chroma', 'rms', 'roll_off', 'zcr', 'mfcc')"
0.5434243083000183,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'spec_band')"
0.5310173630714417,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'roll_off')"
0.540942907333374,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'zcr')"
0.6476426720619202,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_cent', 'mfcc')"
0.503722071647644,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_band', 'roll_off')"
0.5732010006904602,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_band', 'zcr')"
0.6625310182571411,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'spec_band', 'mfcc')"
0.5508685111999512,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'roll_off', 'zcr')"
0.6749379634857178,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'roll_off', 'mfcc')"
0.6401985287666321,"('tempo', 'chroma', 'spec_flux', 'spec_cont', 'zcr', 'mfcc')"
0.38461539149284363,"('tempo', 'chroma', 'spec_flux', 'spec_cent', 'spec_band', 'roll_off')"
0.46650123596191406,"('tempo', 'chroma', 'spec_flux', 'spec_cent', 'spec_band', 'zcr')"
